Name,coder,Merged,env_a,comma_a,emp_a,div_a,con_a,cg_a,hr_a,env_s,comm_s,emp_s,div_s,con_s,cg_s,hr_s,csr
Daniel Aldave,1,aee_sl_2006-4,1,1,1,1,5,1,1,1,1,1,1,2,1,1,4
Daniel Aldave,1,aee_sl_2006-6,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,aee_sl_2006-7,6,1,1,1,1,1,1,5,1,1,1,1,1,1,6
Daniel Aldave,1,aee_sl_2006-8,5,1,1,1,1,1,1,5,1,1,1,1,1,1,6
Daniel Aldave,1,aee_sl_2006-9,1,1,1,1,5,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,aet_sl_2012-1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,3
Daniel Aldave,1,aet_sl_2012-2,1,1,1,1,6,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,aet_sl_2012-3,1,6,4,1,4,1,1,1,6,5,2,5,1,1,7
Daniel Aldave,1,aet_sl_2012-4,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5
Daniel Aldave,1,afl_al_2015-1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,3
Daniel Aldave,1,afl_sl_2015-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,afl_sl_2015-3,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,afl_sl_2015-4,1,1,1,1,4,5,1,1,1,1,1,5,5,1,5
Daniel Aldave,1,agn_sl_2002-1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,agn_sl_2002-2,1,1,4,1,4,1,1,1,1,5,1,5,1,1,5
Daniel Aldave,1,agn_sl_2002-3,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5
Daniel Aldave,1,agn_sl_2002-4,1,1,4,1,3,1,1,1,1,6,1,6,1,1,5
Daniel Aldave,1,ain_sl_2009-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ain_sl_2009-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ain_sl_2009-3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,ain_sl_2009-4,1,1,1,1,1,1,1,1,1,7,1,1,1,1,3
Daniel Aldave,1,ain_sl_2009-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ain_sl_2009-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ain_sl_2016-1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,4
Daniel Aldave,1,ain_sl_2016-2,1,1,1,1,5,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,ain_sl_2016-3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,4
Daniel Aldave,1,aiz_sl_2009-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,aiz_sl_2009-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,aiz_sl_2009-3,1,1,7,1,1,1,1,1,1,6,1,1,1,1,6
Daniel Aldave,1,aiz_sl_2009-4,1,3,3,1,3,1,1,1,3,3,1,3,1,1,5
Daniel Aldave,1,aiz_sl_2009-5,1,1,1,1,1,1,1,1,1,6,1,1,1,1,5
Daniel Aldave,1,aks_sl_2004-1,1,1,1,1,5,1,1,1,1,1,6,1,1,1,5
Daniel Aldave,1,aks_sl_2004-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,aks_sl_2004-3,1,1,4,1,1,1,1,1,1,7,1,1,1,1,4
Daniel Aldave,1,aks_sl_2004-4,1,1,5,1,4,1,1,1,1,6,1,5,1,1,6
Daniel Aldave,1,alk_sl_2005-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,alk_sl_2005-3,1,1,3,1,1,1,1,1,1,6,1,1,1,1,5
Daniel Aldave,1,alk_sl_2005-4,1,1,1,1,1,1,1,1,1,7,1,1,1,1,4
Daniel Aldave,1,alk-sl_2005-2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3
Daniel Aldave,1,alv_sl_2008-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,alv_sl_2008-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,alv_sl_2008-3,7,1,1,1,1,1,1,5,1,1,1,1,1,1,6
Daniel Aldave,1,alv_sl_2008-4,1,1,1,1,4,1,1,1,1,1,1,2,1,1,3
Daniel Aldave,1,alv_sl_2008-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apc_sl_2006,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apc_sl_2012-1,1,1,3,1,1,1,1,1,1,5,1,1,1,1,4
Daniel Aldave,1,apc_sl_2012-2,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7
Daniel Aldave,1,apc_sl_2012-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apc_sl_2013-1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,5
Daniel Aldave,1,apc_sl_2013-2,1,1,1,1,1,1,1,1,1,2,1,1,4,1,3
Daniel Aldave,1,aph_sl_2000-1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,aph_sl_2000-2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apv_sl_2016-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apv_sl_2016-3,1,1,1,1,6,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,apv_sl_2016-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-11,1,1,1,1,4,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,apx_sl_2002-12,1,1,1,1,5,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,apx_sl_2002-13,1,1,1,1,3,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,apx_sl_2002-14,1,1,1,1,4,1,1,1,1,1,1,6,3,1,5
Daniel Aldave,1,apx_sl_2002-15,1,1,3,1,3,1,1,1,1,7,1,7,1,1,6
Daniel Aldave,1,apx_sl_2002-16,1,1,4,1,1,1,1,1,1,7,1,1,1,1,4
Daniel Aldave,1,apx_sl_2002-17,1,4,4,1,1,1,1,1,6,6,1,1,1,1,5
Daniel Aldave,1,apx_sl_2002-18,1,1,3,1,1,1,1,1,1,7,1,1,1,1,4
Daniel Aldave,1,apx_sl_2002-19,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5
Daniel Aldave,1,apx_sl_2002-2,1,1,1,1,1,6,1,1,1,1,1,1,6,1,6
Daniel Aldave,1,apx_sl_2002-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-4,1,1,6,1,1,5,1,1,1,4,1,1,4,1,6
Daniel Aldave,1,apx_sl_2002-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-6,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,apx_sl_2002-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2002-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2003-1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,4
Daniel Aldave,1,apx_sl_2003-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2003-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2003-4,1,1,1,1,7,1,1,1,1,1,1,5,1,1,6
Daniel Aldave,1,apx_sl_2003-5,1,1,5,5,1,1,1,1,1,5,7,1,1,1,6
Daniel Aldave,1,apx_sl_2003-6,1,1,1,1,1,1,1,1,1,2,1,1,6,1,3
Daniel Aldave,1,apx_sl_2003-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,apx_sl_2003-8,1,1,1,1,6,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,apx_sl_2003-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,armk_sl_2015-1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,3
Daniel Aldave,1,armk_sl_2015-2,1,1,3,1,1,1,1,1,1,6,1,1,1,1,3
Daniel Aldave,1,armk_sl_2015-3,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4
Daniel Aldave,1,armk_sl_2015-4,1,1,7,1,3,1,1,1,1,6,1,3,1,1,6
Daniel Aldave,1,armk_sl_2015-5,1,1,5,1,1,1,1,1,1,6,1,1,1,1,6
Daniel Aldave,1,ash_sl_2007-1,5,1,1,1,1,1,1,6,4,4,1,4,1,1,6
Daniel Aldave,1,ash_sl_2007-2,1,1,4,1,1,1,1,1,1,6,1,1,1,1,5
Daniel Aldave,1,ash_sl_2007-3,6,1,1,1,3,1,1,5,1,1,1,2,1,1,6
Daniel Aldave,1,ash_sl_2007-4,1,1,1,1,4,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,ash_sl_2007-5,1,1,5,1,1,1,1,1,5,5,1,5,1,1,6
Daniel Aldave,1,avp_sl_2000-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avp_sl_2000-2,1,1,1,1,3,1,1,1,1,1,1,4,1,1,4
Daniel Aldave,1,avp_sl_2000-3,1,1,3,1,1,1,1,1,1,5,1,1,1,1,4
Daniel Aldave,1,avp_sl_2000-4,1,7,1,1,1,1,1,1,7,1,1,1,1,1,7
Daniel Aldave,1,avp_sl_2000-5,1,1,3,1,1,1,1,1,1,3,1,1,1,1,4
Daniel Aldave,1,avp_sl_2016-1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,2
Daniel Aldave,1,avy_sl_2009-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2009-2,1,1,1,1,5,1,1,1,1,1,1,4,1,1,4
Daniel Aldave,1,avy_sl_2009-3,1,1,4,1,3,1,1,1,1,4,1,3,1,1,4
Daniel Aldave,1,avy_sl_2009-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2009-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2009-6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,3
Daniel Aldave,1,avy_sl_2015-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2015-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2015-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2015-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,avy_sl_2015-5,6,1,1,1,4,1,1,6,1,1,1,5,1,1,7
Daniel Aldave,1,avy_sl_2015-6,1,1,1,1,5,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,avy_sl_2015-7,1,1,3,1,1,1,1,1,1,6,1,1,1,1,4
Daniel Aldave,1,avy_sl_2015-8,1,1,3,7,1,1,1,1,1,3,6,1,1,1,7
Daniel Aldave,1,azo_sl_2007-1,1,1,1,1,3,1,1,1,1,1,1,7,1,1,6
Daniel Aldave,1,azo_sl_2007-2,1,1,1,1,6,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,azo_sl_2007-3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3
Daniel Aldave,1,azo_sl_2007-4,1,1,1,1,1,1,1,1,1,4,1,6,1,1,3
Daniel Aldave,1,ba_sl_2007-1,1,1,2,1,1,1,1,1,1,6,1,1,1,1,3
Daniel Aldave,1,ba_sl_2007-2,1,3,1,1,1,1,1,1,5,1,1,1,1,1,4
Daniel Aldave,1,ba_sl_2007-3,1,1,3,2,4,1,1,1,1,5,3,5,1,1,5
Daniel Aldave,1,ba_sl_2007-4,5,1,1,1,1,1,1,5,1,1,1,1,1,1,4
Daniel Aldave,1,ba_sl_2007-5,1,1,3,5,1,1,1,1,1,4,5,1,1,1,5
Daniel Aldave,1,ba_sl_2007-6,1,1,1,1,3,3,1,1,1,1,1,3,4,1,4
Daniel Aldave,1,ba_sl_2007-7,1,1,2,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,ba_sl_2007-8,1,1,2,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,ba_sl_2007-9,1,1,4,1,1,1,1,1,1,5,1,1,1,1,5
Daniel Aldave,1,bac_sl_2005-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bac_sl_2005-11,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3
Daniel Aldave,1,bac_sl_2005-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bac_sl_2005-3,1,1,1,1,4,1,1,1,1,1,1,3,1,1,5
Daniel Aldave,1,bac_sl_2005-4,1,1,1,1,6,1,1,1,1,1,1,3,1,1,5
Daniel Aldave,1,bac_sl_2005-5,1,1,1,1,4,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,bac_sl_2005-6,1,6,1,1,1,1,1,1,4,1,1,1,1,1,6
Daniel Aldave,1,bac_sl_2005-7,1,5,1,1,1,1,1,1,6,1,1,1,1,1,5
Daniel Aldave,1,bac_sl_2005-8,1,1,1,1,1,1,1,1,5,4,1,5,1,1,5
Daniel Aldave,1,bac_sl_2005-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bac_sl_2007-1,1,1,1,1,6,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,bbt_sl_2012-1,1,1,1,1,4,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,bbt_sl_2012-10,1,1,3,1,1,3,1,1,1,5,1,1,4,1,5
Daniel Aldave,1,bbt_sl_2012-11,1,2,1,1,1,1,1,1,3,4,1,1,1,1,3
Daniel Aldave,1,bbt_sl_2012-12,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bbt_sl_2012-13,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2
Daniel Aldave,1,bbt_sl_2012-14,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2
Daniel Aldave,1,bbt_sl_2012-15,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,bbt_sl_2012-16,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,bbt_sl_2012-17,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,bbt_sl_2012-2,1,1,5,1,1,1,1,1,1,5,1,1,1,1,5
Daniel Aldave,1,bbt_sl_2012-3,1,6,1,1,1,1,1,1,6,5,1,1,1,1,6
Daniel Aldave,1,bbt_sl_2012-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bbt_sl_2012-5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2
Daniel Aldave,1,bbt_sl_2012-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bbt_sl_2012-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bbt_sl_2012-8,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3
Daniel Aldave,1,bbt_sl_2012-9,1,1,5,1,1,1,1,1,1,5,1,4,1,1,4
Daniel Aldave,1,bec_sl_2000-1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,bec_sl_2000-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bec_sl_2000-3,1,1,1,1,3,1,1,1,1,1,1,4,1,1,4
Daniel Aldave,1,bec_sl_2000-4,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3
Daniel Aldave,1,bec_sl_2000-5,1,1,1,1,5,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,bec_sl_2000-6,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2
Daniel Aldave,1,bec_sl_2000-7,1,1,3,1,4,1,1,1,1,4,1,5,1,1,5
Daniel Aldave,1,ben_sl_2015-1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2
Daniel Aldave,1,ben_sl_2015-10,1,1,1,1,2,1,1,1,1,1,1,3,1,1,3
Daniel Aldave,1,ben_sl_2015-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ben_sl_2015-12,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2
Daniel Aldave,1,ben_sl_2015-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ben_sl_2015-2,1,1,1,1,1,3,1,1,1,2,1,1,4,1,3
Daniel Aldave,1,ben_sl_2015-3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,ben_sl_2015-4,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3
Daniel Aldave,1,ben_sl_2015-5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3
Daniel Aldave,1,ben_sl_2015-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,ben_sl_2015-7,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3
Daniel Aldave,1,ben_sl_2015-8,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
Daniel Aldave,1,ben_sl_2015-9,1,1,1,1,4,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,bhi_sl_2010-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bhi_sl_2010-2,1,1,1,1,4,1,1,1,1,1,1,2,1,1,3
Daniel Aldave,1,bhi_sl_2010-3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2
Daniel Aldave,1,bhi_sl_2010-4,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2
Daniel Aldave,1,bhi_sl_2010-5,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2
Daniel Aldave,1,bhi_sl_2010-6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3
Daniel Aldave,1,bhi_sl_2011-1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3
Daniel Aldave,1,bhi_sl_2011-2,1,1,1,1,6,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,bhi_sl_2011-3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
Daniel Aldave,1,bhi_sl_2011-4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
Daniel Aldave,1,bk_sl_2013-1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,5
Daniel Aldave,1,bk_sl_2013-10,1,1,1,1,1,1,1,1,1,6,1,1,1,1,3
Daniel Aldave,1,bk_sl_2013-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bk_sl_2013-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,bk_sl_2013-3,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4
Daniel Aldave,1,bk_sl_2013-4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2
Daniel Aldave,1,bk_sl_2013-5,1,4,1,1,1,1,1,1,6,1,1,1,1,1,5
Daniel Aldave,1,bk_sl_2013-6,6,1,1,1,1,1,1,5,1,1,1,1,1,1,6
Daniel Aldave,1,bk_sl_2013-7,1,6,1,1,1,1,1,1,6,1,1,1,1,1,6
Daniel Aldave,1,bk_sl_2013-8,1,1,3,3,1,1,1,1,1,3,3,1,1,1,5
Daniel Aldave,1,bk_sl_2013-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bll_sl_2014-1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,bll_sl_2014-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bll_sl_2014-3,6,1,3,5,1,2,1,6,1,5,5,3,1,1,7
Daniel Aldave,1,bll_sl_2014-4,1,1,1,1,5,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,bll_sl_2014-5,1,1,1,1,4,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,bll_sl_2014-6,1,1,1,1,4,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,bll_sl_2014-7,5,1,1,1,1,1,1,5,1,1,1,1,1,1,6
Daniel Aldave,1,bll_sl_2014-8,1,1,1,1,1,1,1,1,3,3,1,3,1,1,4
Daniel Aldave,1,bms_sl_2003-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,bms_sl_2003-2,1,1,1,1,4,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,bms_sl_2003-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bms_sl_2003-4,1,1,1,1,3,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,bms_sl_2003-5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,bms_sl_2003-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bpl_sl_2014-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bpl_sl_2014-2,1,1,5,1,1,1,1,1,1,5,1,1,1,1,5
Daniel Aldave,1,bpl_sl_2014-3,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4
Daniel Aldave,1,bpl_sl_2014-4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2
Daniel Aldave,1,bpl_sl_2014-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bpl_sl_2014-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bpl_sl_2014-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2009-1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2009-2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
Daniel Aldave,1,brk.b_sl_2010-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-10,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3
Daniel Aldave,1,brk.b_sl_2010-11,1,1,1,1,3,1,1,1,1,1,1,5,1,1,4
Daniel Aldave,1,brk.b_sl_2010-12,1,1,1,1,4,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,brk.b_sl_2010-13,1,1,1,1,4,3,1,1,1,1,1,4,3,1,5
Daniel Aldave,1,brk.b_sl_2010-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-16,1,1,1,1,1,6,1,1,1,1,1,1,5,1,5
Daniel Aldave,1,brk.b_sl_2010-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
Daniel Aldave,1,brk.b_sl_2010-19,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5
Daniel Aldave,1,brk.b_sl_2010-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
Daniel Aldave,1,brk.b_sl_2010-21,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3
Daniel Aldave,1,brk.b_sl_2010-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-3,1,1,1,1,2,1,1,1,2,1,1,3,1,1,2
Daniel Aldave,1,brk.b_sl_2010-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-5,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2
Daniel Aldave,1,brk.b_sl_2010-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,brk.b_sl_2010-7,1,1,1,1,1,4,1,1,1,1,1,1,5,1,4
Daniel Aldave,1,brk.b_sl_2010-8,1,1,1,1,3,1,1,1,1,5,1,5,1,1,4
Daniel Aldave,1,brk.b_sl_2010-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,bsx_sl_2008-1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2
